,Цена,Диагональ экрана,Объем накопителя SSD,Объем оперативной памяти,Количество ядер процессора,Комплектация,Емкость аккумулятора,Вес,Операционная система
"Ноутбук Lenovo Legion 5 17.3""/16/512/RTX3050 4(82K00006RK)",140 200 ₽,17.3,512,16 ГБ,8,"Ноутбук, блок питания, документация",,2.98 кг,Без системы
"Ноутбук ACER Extensa 15 - EX215-SE, i3-1005G1, 4/1000GB",38 794 ₽,"15,6",1000 гб,4,2,"Ноутбук, адаптер питания, руководство пользователя",,,Без ОС
"ASUS P1512 15.6"" FHD/ Core i3-1115G4/ 8GB/ 256GB/ WIN11",47 990 ₽,15.6,256 гб,8 гб,2,,,,Windows
Ноутбук HP ProBook 650 G8,67 092 ₽,15.6,256 Гб,8 ГБ,4,"Ноутбук, документация, адаптер питания с кабелем, диск с ПО (опция)",45 Вт*час,1.74 кг,Windows 10 Pro
Ноутбук Asus X515EA-BQ3266W 15.6/i3/SSD512/RAM8GB,56 700 ₽,"15,6",512 Гб; 512,8 ГБ; 8,2; два ядра; двухядерный,ноутбук; кабель зарядный; аккумулятор; руководство пользователя,,1.8 кг,Windows; Windows 11 Home
"Ноутбук HP 255 G9Ryzen5/512Gb SSD/15.6""/Int:AMD Radeon/Win11",49 900 ₽,15.6,512,8 ГБ,6,"ноутбук, блок питания",,1.74 кг,Windows Home
Ноутбук Tecno MEGABOOK T1/ i5,51 370 ₽,15.6,512G,16 ГБ,4,,"3-элементный, 70 Вт·ч",1.48 кг,Windows 11 Home
Ноутбук Lenovo 15ACH6 82K2007DRM,73 419 ₽,"15.6""",512 Гб,8 ГБ,6,"документация, адаптер питания",45 Вт*ч,2.25 кг,Free DOS
"Ноутбук Lenovo IdeaPad 3 15IGL05 15.6"" Pen 8/256(81WQ00JBRK)",37 810 ₽,15.6,256,8 ГБ,4,"Ноутбук, блок питания, документация",,1.85 кг,Без системы
Ноутбук ASUS E510MA-BQ861W (Pen-N5030,42 990 ₽,"15.6""",256 Гб,8,4,,,1 кг,Windows 11 Home
"Ноутбук AZ-1508 15.6""/4x1.0GHz/16Gb/512Gb",38 024 ₽,"15.6""",512 Гб,16 ГБ,4,блок питания - 1шт; Ноутбук - 1шт,4000,2.6 кг,Windows
"Ноутбук Lenovo Legion 5 17.3""/16/1TB/RTX3060 6(82JM000KRM)",169 150 ₽,17.3,1000,16 ГБ,6,"Ноутбук, блок питания, документация",,2.98 кг,Без системы
"Ноутбук K3500PA-KJ409 15.6"" i5-11300H 8/512ГБ SSD",57 584 ₽,15.6'',512 Гб,8 ГБ,4 ядра,ноутбук; адаптер питания; документация,50 Вт·ч,1.65 кг,Без операционной системы
"Ноутбук Asus Zenbook S 13 OLED UM5302TA-LX384W/13.3"" Touch",84 734 ₽,"13.3""",512 Гб,8,6,,,,Windows 11 Home
Ноутбук Acer TravelMate P215-41-R9SH (NX.VRHER.005),50 460 ₽,"15.6""",256 Гб,8 ГБ,4 ядра,зарядное устройство; документация; ноутбук,48 Вт*ч,1.8 кг,Windows 10 Pro
"Ноутбук игровой MSI Leopard GP66 15.6"" i7/512SSD/RTX3070/DOS",163 460 ₽,15.6,512,16 ГБ,8,"Ноутбук, зарядное устройство, документация",,2.38 кг,Без системы
Ноутбук HP 255 G8 27K52EA,58 700 ₽,15.6'',256 Гб,8 ГБ,4 ядра,,41 Вт*ч,,Windows 10 Pro
Ноутбук ProBook 450 G9 (6F1E5EA),79 990 ₽,"15,6",512 Гб,8 Гб,10,Блок питания; Инструкция,51 Втч,1.74 кг,нет
Ноутбук HIPER DZEN X1D1481S,69 126 ₽,"15,6",512 Гб,16 ГБ,4,ноутбук; зарядное устройство; документация,5700 мА*ч,1.7 кг,Без ОС
"Ноутбук игровой MSI GF63 15.6""IPS Corei7/SSD512/RTX3050/DOS",116 340 ₽,15.6,512,16 ГБ,8,"Ноутбук, зарядное устройство, документация",,1.86 кг,Без системы
"Ноутбук Pro Sprint M i7 10710U/16Gb/SSD512Gb/15.6""/W11Pro",50 590 ₽,"15.6""",512 Гб,16 ГБ,6,"ноутбук - 1шт, сетевой адаптер - 1шт, краткое руководство - 1шт",4250 мА*ч,1.82 кг,Windows
"Ноутбук RedmiBook 16"" 2020",89 258 ₽,16'',512 Гб,16 ГБ,4,инструкция; ноутбук; переходник; зарядное устройство,,,
Ноутбук GIGABYTE G5 GD GD-51DE123SD,79 900 ₽,15.6,512 гб,16 гб,6,"ноутбук, дркументация, провод питания",,,Без ОС
Ноутбук Acer Nitro 5 AN515-58 (NH.QFMER.006),79 134 ₽,"15.6""",512 Гб,16,12,,,,noOS
Ноутбук для работы Asus ExpertBook P1,55 990 ₽,15.6,512 Гб,8 ГБ,2,,37 Втч,1.8 кг,Без ОС
"Ноутбук Lenovo ThinkPad T14 G2 14"" FHD i7/16Gb/512SSD/DOS",216 050 ₽,14,512,16 ГБ,8,"Ноутбук, документация, блок питания",,1.53 кг,Без системы
Ноутбук Acer i5-12500H/256Gb/17.3/RTX3050 4Gb/(NH.QJAAA.002),86 000 ₽,17.3,256,8 ГБ,12,"Ноутбук, документация, зарядный блок",,2.2 кг,Windows Home
"Ноутбук Hiper DZEN MTL1569, цвет серебристый",66 990 ₽,"15.6""",512,16,4-ядерный,"Ноутбук-1шт., инструкция-1шт.,гарантийный талон-1шт.",,,Free DOS
"Игровой ноутбук ASUS TUF Dash F15 15.6"" FX517ZC-HN111W",139 216 ₽,15.6,1024 Гб,16 ГБ,10,"Ноутбук, блок питания, шнур питания",,,Windows Home
"Ноутбук CHUWI Corebook Xpro 15.6''1920X1080,i5-10210U, 16GB+512GB,Win11 HOME",49 690 ₽,"15.6 """,512 GB,16 ГБ,4 ядер,инструкция - 1шт; зарядное устройство - 1шт; гарантиный талон - 1шт; Ноутбук - 1шт,4000 mAh,1.78 кг,Windows 11 Home
Ноутбук HP 15s-eq1279ur,34 037 ₽,15.6,256 Гб,4 ГБ,2,"Ноутбук, документация, блок питания с кабелем",41,1.69 кг,не установлена
Ноутбук MateBook D 14 NbB-WAI9 8+256GB (53011UXA),40 942 ₽,"14 """,256,8,2,HUAWEI MateBook D 14; адаптер питания HUAWEI USB-C переменного тока; кабель USB-C; краткое руководство пользователя,7565 мА·ч,,Windows 10 Home
"Ноутбук 14"" Infinix Inbook X2 Intel Core i7 8ГБ SSD 512ГБ",45 091 ₽,"14""",512 Гб,8,4 ядра,"Ноутбук, адаптер питания, зарядный кабель USB-C, документация",50 Вт*ч,1.24 кг,Windows 11
"Игровой ноутбук Gigabyte G5 MF-E2KZ333SD, 15.6""",106 830 ₽,15.6 дюймов,512 ГБ,1 х 8 ГБ; Макс. 64 ГБ,12,Ноутбук Gigabyte G5 MF-E2KZ333SD - 1шт; руководство пользователя - 1шт; гарантийный талон - 1шт; блок питания - 1шт,54 Вт*ч,1.9 кг,Без ОС
Ноутбук F+ FLAPTOP I FLTP-5I5-8512-W,48 250 ₽,"15.6""",512 гб,8 гб,10,ноутбук; зарядное устройство; документация,,1.8 кг,Windows 11 Home
"Ноутбук 15.6"" Pro Fortis M i5 10210U/16Gb/SSD512Gb/W11Pro",45 990 ₽,"15.6""",512 Гб,16 ГБ,4,"ноутбук - 1шт, сетевой адаптер - 1шт, краткое руководство - 1шт",4250 мА*ч,1.87 кг,Windows
Ноутбук HP 250 G8 (2W9A0EA),86 541 ₽,"15.6; 15.6 ""; 15.6 дюйм",256 Gb; 256; 256 Гб,8 ГБ; 8 GB; 8,2 шт; 2 шт; 2,Ноутбук - 1 шт,,1.74 кг,
Ноутбук Acer A515-45G/Ryzen 7/8Gb/512Gb/noOS(NX.A8EER.004),51 660 ₽,"15.6""",512 ГБ,8 ГБ,8,,,,
Ноутбук HP15s AMD Ryzen3 /256G SSD/Win11,71 040 ₽,15.6,256 Гб,8 ГБ,2,"Ноутбук, документация, кабель питания",,1.74 кг,Windows 11 Home
Ноутбук Lenovo IdeaPad 3 15IIL05 81WE017KRK,78 912 ₽,"15.6""",256 гб,12 гб,4,Ноутбук; зарядное устройство; документация,,1.85 кг,DOS
Ноутбук MSI Modern 15 B12M-215XRU,43 449 ₽,"15,6""",256 Гб,8 ГБ,6,"ноутбук, документация, адаптер питания",39.3 Вт*ч,1.7 кг,Windows
Ноутбук Acer TravelMate P215-41-G2-R03V,93 945 ₽,"15.6""",256 гб,8 гб,4,"Ноутбук, блок питания, документация",48 ВТхЧ,1.8 кг,Windows 10 Pro
"Ноутбук ASUS ExpertBook B1 B1500CEAE-BQ2264W 15.6""",46 239 ₽,15.6,256 Гб,8 ГБ,2,ноутбук; адаптер питания; документация,42 Втч,1.73 кг,Windows 11 Home
"Ноутбук VICTUS 16-e0078ur, 16.1"" 4E1L0EA RTX 3060 РОСТЕСТ",104 238 ₽,"16.1""",512 Гб,16 ГБ,6,"Ноутбук, зарядный кабель, документация",70 Wh,2.46 кг,Без системы
Ноутбук Extensa 15 EX215-54-585V,74 443 ₽,"15.6""",256 гб,8 гб,4,ноутбуки; зарядное устройство; документация,,1.9 кг,Windows 10 Pro
Ноутбук Xiaomi RedmiBook 15 i3 8/256GB,53 828 ₽,"15.6""",256 Гб,8 ГБ,2,ноутбук xiaomi; адаптер питания; документация,46 Вт·ч,1.8 кг,Windows
"Ноутбук Lenovo Thinkbook 15 G2 ITL Core i3 1115G4 8Gb SSD256Gb Intel UHD Graphics 15.6""",57 990 ₽,15.6,256,8 ГБ,2,Инструкция - 1 шт; Ноутбук - 1 шт,,,
"Ноутбук HP Pavilion Aero 13-be1034ci 15.6"" (79B13EA)",62 557 ₽,"15.6""",512 Гб,16,6,,,,noOS
Ноутбук Predator Helios 300 PH315-55-95UQ (NH.QFTCN.003),169 990 ₽,"15.6""",512 Гб,16 ГБ,14,ноутбук; блок питания; инструкция,90 Втч,2.5 кг,Windows 11 Home
"Ноутбук EVE 15 P417 15.6"" Pentium J3710 4Gb SSD128Gb W10",22 439 ₽,"15.6 """,128 Гб,4 ГБ,4 ядра,Инструкция - 1 шт; Зарядное устройство - 1 шт; Ноутбук - 1 шт,5000 mAh,1.54 кг,Windows 10 Home SL
"Ноутбук X415MA-EB521 14"" Intel Pentium N5030",36 494 ₽,14,256 Гб,4 ГБ,4,"Ноутбук, зарядное устройство, документация",37 Вт/ч,1.55 кг,Без системы
"Ноутбук Acer NX.A1GER.005(i5/15,6/256Гб/8Гб/UMA/noOS)",43 959 ₽,"15,6""",256,8 ГБ,4,,,,noOS
Ноутбук VivoBook 14 Flip (90NB0WR1-M006X0),73 990 ₽,"14""",256 Гб,8 ГБ,10,ноутбук; блок питания; инструкция,50 Втч,1.5 кг,Windows 11 Home
"Ноутбук HP 14s-dq0047ur 14"" FHD Pen N5030/4Gb/256Gb SSD/DOS",42 060 ₽,14,256,4 ГБ,4,"Ноутбук, блок питания",,1.46 кг,Без системы
Ноутбук Lenovo IdeaPad 3 i3 1215U/8ГБ/512SSD/15.6/DOS,52 453 ₽,"15.6""",512 Гб,8,6,,,1.6 кг,DOS; не установлено; noOS
"Ноутбук ACER Enduro Urban N3 EUN314-51W 14"" 16/512GB",83 617 ₽,"14""",512 Гб,16,4,Ноутбук - 1шт.; Блок питания - 1шт.; Гарантийный талон - 1шт.; руководство пользователя - 1шт.,,1.85 кг,Без системы
Ноутбук ACER EUN314A-51WG CI3-1115G4 8/256GB NR.R1GEX.001,49 989 ₽,14,256 Гб,,2,Руководство пользователя - 1 шт; гарантийный талон -1 шт; Ноутбук - 1 шт; Сетевой адаптер - 1шт,,1.85 кг,Без ОС
Ноутбук Lenovo Legion 5 Pro 16ACH6H WQXGA (82JQ010BRK),140 906 ₽,"16""",1 Тб,16,6,,,,noOS
"Ноутбук VICTUS 16-d0051ur, 16.1"" 4E0X3EA RTX 3050 Ti РОСТЕСТ",86 360 ₽,"16.1""",512 GB,16 гб,6,"документация, адаптер питания",70 Вт*Ч,2.46 кг,FreeDOS
"Acer Swift i5-1135G7/8Гб/512Гб/14""/NoOS /NX.ACWER.004",49 035 ₽,"14 """,512 GB,8 GB,4,Инструкция для пользователя,48 Вт*ч,1.2 кг,no OS
"Ноутбук HP Victus 512Gb/15.6"" IPS/RTX 3050 Win11(6E0L0UA)",77 500 ₽,15.6,512,8 ГБ,12,"Ноутбук, документация, зарядный блок",,2.29 кг,Windows Home
Ноутбук Asus Laptop X515JA-BQ2024W [90NB0SR1-M02PX0],35 998 ₽,"15,6 ''",256 Gb,8,,,,,Windows 11 Home
"Ноутбук Lenovo ThinkPad T14 G3 14"" FHD i7/16Gb/512SSD/W11Pro",219 540 ₽,14,512,16 ГБ,12,"Ноутбук, документация, блок питания",,1.53 кг,Windows Pro
"Игровой ноутбук ROG Zephyrus M16 GU603ZX-K8009W 16""",308 049 ₽,16,2048 Гб,32 ГБ,14,"Ноутбук, блок питания, шнур питания",90 Вт/ч,2 кг,Windows
Apple MacBook Pro 14/M1 Pro/16/1 (Silver),187 492 ₽,"14.2""",1TБ,16ГБ,10,Macbook; документация; зарядное устройство; кабель,,,macOS
"Ноутбук N5095 IPS 15,6"" FHD 16/256gb",37 979 ₽,15.6'',256 Гб,16 ГБ,4 ядра,ноутбук; чехол для ноутбука; Беспроводная мышь; зарядный блок,,1.6 кг,Windows 10 Pro
Ноутбук HP Victus 16-e1050ci (6K3C9EA),78 103 ₽,"16.1""",512 Гб,16,6,,,,noOS
"Ноутбук AORUS 15P 15.6""i7,RTX3070,DDR4 8Gx2,SSD1TB,Win11Home",122 620 ₽,15.6,1024,16 ГБ,8,"Ноутбук, документация, блок питания",,2.2 кг,Windows Home
"Ноутбук MSI Modern 14 14"" i7/512SSD/W11Pro (9S7-14D334-1240)",97 170 ₽,14,512,16 ГБ,4,"Ноутбук, зарядное устройство, документация",,1.3 кг,Windows Pro
Ноутбук Acer Swift 3 SF316-51-79JK NX.ABDER.00H,58 223 ₽,"16.1""",512 Гб,16,4,,56 Вт*ч,,Windows
Ноутбук Lenovo Yoga 7 15ITL5,94 045 ₽,15.6,1024 Гб,16 Гб,4,Ноутбуки,71 Вт*ч,1.9 кг,Windows 11 Home
"Ноутбук для работы HP Pavilion 14"" 14-ec0046ur",75 990 ₽,14,512 Гб,8 ГБ,6,,3749 мАч; 43 Втч,1.4 кг,Windows 10 Home
Ноутбук Maibenben X558,85 439 ₽,"15.6; 15.6""",512 Гб,16 ГБ,8,"зарядное устройство, документация, ноутбук",4100 mAh,1.96 кг,Без ОС
Ноутбук Lenovo 15ITL6 82H8005FRK 8GB,41 612 ₽,"15.6""",256 Гб,8 ГБ,2,документация; адаптер питания,38 Wh,1.65 кг,Windows
Ноутбук HP 15s-fq5045ci/15.6/i5/8Gb/512Gb (6K3C4EA),44 135 ₽,"15.6""",512 Гб,8,10,,,,Windows
"Ноутбук Acer TravelMate TMP215-52-30CQ (i3-10110U/8Gb/256Gb SSD/15,6""FHD/UMA/NoOs) NX.VLLER.00R",34 589 ₽,"15,6 """,256 Gb,8 GB,2,инструкция,45 Вт*ч,1.8 кг,нет
Infinix Inbook XL23/14/i3 /8GB/256GB,43 090 ₽,14,256 гб,8 ГБ,,ноутбук; зарядное устройство; гарантийный талон; документация,50 Втч,1.6 кг,Windows
"Игровой ноутбук VivoBook Pro 15.6"" RTX 3050, 1ТБ SSD",96 975 ₽,15.6,1 Тб,16,8,"Ноутбук, зарядное устройство, документация",50 Вт·ч,1.8 кг,нет
Ноутбук Extensa EX215-52-53U4 Black (NX.EG8ER.00B),49 990 ₽,"15.6""",512 Гб,8 ГБ,4,,36.7 Втч,1.9 кг,нет
Ноутбук Sarbook Flagman Silver Grey,66 500 ₽,"15,6",1024 Гб,32 ГБ,4,"ноутбук, документация, блок, шнур питания",5000мА/ч 11.4В,,Windows Home
"Ноутбук AZ-1504 15.6""/8Gb/1Tb",22 325 ₽,"15.6""",1024 Гб,8 ГБ,4 ядра,Ноутбук- 1шт; блок питания - 1шт; Гарантийный талон - 1шт.,3600 mAh,1.9 кг,Windows 10 Pro
Ноутбук Lenovo IdeaPad 3 15IGL05 (81WQ0086RU) серый,30 638 ₽,15.6,256 Гб,8 ГБ,2,"Упаковка, ноутбук, ЗУ.",35 Вт*ч,1.7 кг,Windows 11 Home
Ноутбук Flaptop i Dark Grey (FLTP-5i5-8512-w),51 990 ₽,"15.6""",512 Гб,8 ГБ,8,Ноутбук F+; блок питания; инструкция,48 Вт/ч,1.8 кг,Windows
"Ноутбук TECNO Megabook T1 i5 16/512GB/15.6""/ Win11",45 990 ₽,15.6,512 Гб,16,4,,,,Windows
"Ноутбук Acer EX215-22-R1UH 15.6""/Ryzen 3/4Gb/(NX.EG9ER.035)",32 190 ₽,"15.6""",256 ГБ,4 ГБ,,,,,noOS
"Ноутбук Dell Vostro 5402 Core i5-1135G7/8Gb/SSD256Gb/14""/IPS/FHD/Win10Pro/grey",75 075 ₽,15.6,512 Гб,8 ГБ,4,Ноутбук - 1 шт,,1.36 кг,Windows 10 Pro
"Ноутбук AZ-1511 15.6""/4x2Ghz/16Gb/1Tb",30 780 ₽,15.6'',1 Тб,16 ГБ,4,,5000 mAh,1.5 кг,Windows
Ноутбук Lenovo V15 G2 ALC 82KD002URU,54 400 ₽,"15.6""",256 ГБ,8 ГБ,4,Ноутбук Lenovo V15 G2 ALC 82KD002URU - 1шт; Руководство пользователя - 1шт; Гарантийный талон - 1шт; Блок питания - 1шт,38 Вт*ч,1.7 кг,DOS
Ноутбук HP Pavilion 15-eh2046ci 15.6 (79B15EA),51 323 ₽,"15.6""",512 Гб,16,6,,,,noOS
"Ноутбук X515JA-BQ2979 15,6"" Intel Core i3-1005G1",35 883 ₽,15.6,256 Гб,8 ГБ,2,"Ноутбук, кабель, документация",37 Вт/ч,1.8 кг,Без системы
Ноутбук игровой M555,40 799 ₽,"15.6""",512 Гб,8 ГБ,6,"документация, адаптер питания",4287 мА*ч,1.75 кг,noOS
Ноутбук Hiper WORKBOOK 1564,43 189 ₽,"15.6""",256 Гб,8 ГБ,2,"ноутбук, блок питания, документация",4000 мА*ч,1.6 кг,Windows 10 Home
"Ноутбук Asus Vivobook Pro 15 OLED (15.6"", AMD Ryzen 7, 16Гб)",128 700 ₽,"15.6""",512 Гб,16 ГБ,8,Ноутбук Asus Vivobook Pro 15 OLED M6500QC-MA121W - 1шт.; Блок питания - 1шт.; руководство пользователя - 1шт.; Гарантийный талон - 1шт.,4500 мАч,1.8 кг,Windows 11
Ноутбук Acer Aspire 5 A515-45GNX.,62 700 ₽,"15,6",512 GB,8 GB,6,,,1.8 кг,
"Ноутбук Hiper WORKBOOK N1567RH 15.6"",цвет серебристый",38 650 ₽,"15.6""",256 Гб,8,2-ядерный,"Ноутбук-1шт., инструкция-1шт.,гарантийный талон-1шт.",,,Windows 10
"Ноутбук Lenovo IdeaPad 3 15ITL6 15.6""i5/8/256(82H8024PRK)",60 280 ₽,15.6,256,8 ГБ,4,"Ноутбук, блок питания, документация",,1.65 кг,Без системы
Ноутбук Acer Aspire 3,41 934 ₽,15.6,256 Гб,4.0гб,2,,4810 мА·ч,1.9 кг,DOS
"Игровой Ноутбук TUF Dash F15 15.6"" 16ГБ/1ТБ/3070/DOS",140 972 ₽,15.6,1 Тб,16,10,документация; адаптер питания; ноутбук,76 Вт/ч; 1.5 А*ч,2 кг,Без операционной системы
"Ноутбук AORUS 15P15.6"" i7,RTX3070,DDR4 8Gx2,SSD1TB,Win11Home",127 230 ₽,15.6,1024,16 ГБ,8,"Ноутбук, документация, блок питания",,2.2 кг,Windows Home
"Ноутбук K3500PA-KJ408 15.6"" i7-11370H 16ГБ/1ТБ SSD UMA",73 584 ₽,15.6'',1 Тб,16 ГБ,4 ядра,ноутбук; адаптер питания; документация,50 Вт·ч,1.65 кг,Без операционной системы
"Ноутбук Lenovo V15-ITL Core i3-1115G4/8Gb/SSD256Gb/UHDG/15.6""/TN/FHD",41 875 ₽,"15.6""",256 Гб,8 ГБ,2 ядра (4 потока),ноутбук; адаптер питания,38 Вт*ч,1.7 кг,Без операционной системы
Ноутбук Gigabyte G7 KE-52RU213SD,124 330 ₽,"17.3""",512 Гб; 512 GB,16; 16 ГБ,12,зарядное устройство,54 Вт.ч,,DOS
"Ноутбук Acer TravelMate Core i7-1165G7/8Gb/SSD256Gb/15.6""/IPS/FHD/Win10Pro/black",66 727 ₽,15.6,256 Гб,8 ГБ,4,Ноутбук - 1 шт,,1.8 кг,Windows 10 Pro
Apple MacBook Air 13/M2/8/512 (Starlight),126 392 ₽,"13.6""",512ГБ,8ГБ,8,Macbook; документация; зарядное устройство; кабель,,,macOS
Ноутбук Apple MacBook Pro 14.2 MKGP3RU/A (EAC),168 255 ₽,14.2,512,16,8,MacBook; документация; зарядное устройство; кабель,6700,1.6 кг,
